nome_vaga;empresa;id;nivel_experiencia;data_publicacao;faixa_salario;localizacao;modelo_contrato;beneficios;descricao_vaga
Analista Sr - Imunohistoquimica - Hospital Quinta D'Or;Rede D'Or;284;Sênior;Publicada ontem;a combinar;Rio de Janeiro;Regime CLT;Assistência médica, Assistência odontológica, Convênio com empresas parceiras, Desconto em produtos, Refeitório, Seguro de vida;" - Formação : Superior completo em Biomedicina ou Biologia ou áreas relacionadas; Desejável Pós-Graduação; Conselho ativo e em dia - CRBM e CRBIO ou afins;  - Experiência: Necessária boa vivência no setor e em corte histológico e automação em imuhistoquímica.    Realizar procedimentos de imuno-histoquímica, incluindo preparação de lâminas, aplicação de anticorpos e desenvolvimento de técnicas de coloração; Atender a demanda de dúvidas pertinentes a Anatomia Patológica; Notificar equipe multidisciplinar quando houver divergência na amostra recebida; Orientar e treinar a equipe técnica em procedimentos de imuno-histoquímica e boas práticas laboratoriais; Supervisionar a execução das atividades da equipe, garantindo a adesão aos protocolos e normas de qualidade; Avaliar e interpretar os resultados das análises, identificando padrões e marcadores relevantes para o diagnóstico; Colaborar na correlação dos achados imuno-histoquímicos com dados clínicos e histopatológicos; Manter registros organizados e completos das análises realizadas, assegurando a rastreabilidade; Trabalhar em parceria com patologistas e outros profissionais de saúde para discutir casos e contribuir para decisões diagnósticas; Conhecer os aspectos e impactos ambientais significativos e perigos e riscos não aceitáveis da sua área; Atuar na mitigação dos acidentes ambientais e de saúde e segurança; Atuar conforme política de segurança institucional do paciente; Garantir a otimização e padronização dos protocolos de imuno-histoquímica; Identificar e classificar lesões e alterações teciduais.     - Local de trabalho: São Cristóvão - RJ.  - Escala de trabalho: 220 - (6X1) - 2º A 6º - 08h às 17:00/SAB 08:00 às 17:00.   - Disponibilidade para treinamento."
Analista de Laboratório - Laboratório - Hospital Aeroporto;Rede D'Or;285;Júnior/ Trainee;Publicada há 6 dias;a combinar;Bahia;Regime CLT;Assistência médica, Assistência odontológica, Convênio com empresas parceiras, Refeitório, Seguro de vida, Vale-transporte;" - Formação: Ensino Superior Completo em Biomedicina, Bioquímica, Farmácia; - Registro ativo em conselho da categoria; - Experiência em laboratório.  - Implantação e cumprir todas as diretrizes relacionadas às Pessoas contidas em Políticas, Normas e Procedimentos, atuando na correção dos desvios; - Apoiar a Liderança direta em assuntos inerentes à sua área de atuação; - Treinar os parceiros internos e externos nos processos inerentes à sua área de atuação; - Apoiar, acompanhar e orientar tecnicamente o setor quanto aos assuntos inerentes à sua área de atuação; - Planejar e executar atividades técnico-operacionais específicas da área de Análises Clínicas, que englobam procedimentos laboratoriais pré-analíticos, analíticos e/ou pós-analíticos, manuseando ferramentas, instrumentos, aparelhos e operando equipamentos inerentes ao Cargo, mantendo o andamento dos fluxos dos respectivos processos, bem como analisar as demandas e propor soluções para resolução de problemas, seguindo especificações, Normas e orientações da Liderança imediata; - Monitorar o controle de qualidade interno e externo do setor na execução dos procedimentos de análise, dentro dos princípios das boas práticas de laboratório clínico e critérios estabelecidos nos procedimentos técnicos analíticos, atuando na correção dos desvios; - Controlar a disponibilidade de materiais, ferramentas e equipamentos necessários para a execução dos serviços, solicitando a reposição e/ou manutenção, quando necessários; - Manter em adequadas condições de funcionamento os equipamentos, instrumentos e aparelhos, realizando a limpeza, controles e calibrações; - Conferir, lançar e atualizar dados em sistemas e documentos relacionados à sua área de atuação; - Manter a Liderança informada sobre o andamento dos trabalhos, irregularidades, falhas, acidentes e demais intercorrências.  - Local de trabalho: Hospital Aeroporto, Lauro de Freitas/BA. - Escala de trabalho: 180 - (12X36) - 07:00 às 19:00 - DIUR B. - Disponibilidade para treinamento."
Analista de Benefícios (Alocado no Cliente | Barueri);XIPP - Consultoria e Corretora de Seguros;286;Pleno;Publicada há 6 dias;a combinar;Barueri;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio farmácia, Horário flexível, Refeitório;Analista de Benefícios (Alocado no Cliente | Barueri) Você é uma pessoa dinâmica, organizada e com excelente habilidade de comunicação? Se gosta de um ambiente que exige agilidade e de estar em contato direto com o cliente e suas operações, essa vaga é ideal para você!  Sobre a XIPP Na XIPP, desenvolvemos soluções inovadoras para a gestão de benefícios de saúde corporativa. Nosso foco é proporcionar um atendimento de excelência, conectando empresas e colaboradores a uma experiência eficiente e personalizada. Fazemos isso através de uma equipe comprometida, unida pela busca constante de inovação e qualidade. Se você quer crescer em um ambiente dinâmico, estamos esperando por você!  O que você vai fazer no dia a dia: • Gerenciar todos os processos operacionais relacionados aos produtos seguráveis (assistência médica, odontológica e seguro de vida) e não seguráveis (VA, VR, VT) do cliente. • Realizar movimentações cadastrais dos benefícios, atendendo tanto aos funcionários quanto ao RH do cliente. • Esclarecer dúvidas sobre coberturas e serviços, oferecendo suporte direto ao colaborador e contato com fornecedores por e-mail e telefone. • Processar e controlar movimentações cadastrais, garantindo a precisão dos dados. • Efetuar a baixa de movimentações e criar layouts de vidas. • Atender diretamente os colaboradores do cliente por meio de plataformas digitais e pessoalmente, assegurando que suas necessidades sejam resolvidas de forma rápida, eficiente e com empatia.  O que esperamos de você: • Experiência com movimentação cadastral de benefícios seguráveis e não seguráveis. • Conhecimento sólido dos processos operacionais e das coberturas de benefícios corporativos. • Organização e agilidade para lidar com prazos e grandes volumes de informações. • Excel intermediário (PROCV, tabelas dinâmicas, fórmulas). • Capacidade de análise técnica em benefícios e seguros.  Junte-se à XIPP e faça parte de uma empresa que valoriza seu crescimento e oferece um ambiente inovador e dinâmico! 
Analista de Operações (back-Up Interno;XIPP - Consultoria e Corretora de Seguros;287;Pleno;Publicada há 6 dias;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio farmácia, Horário flexível, Refeitório;Analista de Operações (Back-up Interno) Você é uma pessoa ágil, organizada e gosta de trabalhar em um ambiente dinâmico? Valoriza a diversidade de atividades e quer estar diretamente envolvido nos processos operacionais? Então, essa vaga é perfeita para você! Sobre a XIPP Na XIPP, desenvolvemos soluções inovadoras para a gestão de benefícios de saúde corporativa. Nosso foco é proporcionar um atendimento de excelência, conectando empresas e colaboradores a uma experiência eficiente e personalizada. Fazemos isso através de uma equipe comprometida, unida pela busca constante de inovação e qualidade. Se você quer crescer em um ambiente dinâmico, estamos esperando por você! O que você vai fazer no dia a dia: • Receber, processar e controlar movimentações cadastrais na plataforma SDI. • Analisar os processos de movimentação para garantir a conformidade com as regras das operadoras. • Efetuar a baixa de movimentações e criar layouts de vidas. • Atender demandas internas e de clientes, comunicando as movimentações realizadas via SDI. • Realizar a conferência e formatação de arquivos e faturas, além de controlar e enviar aos clientes. • Exportar, converter arquivos e emitir rateios personalizados, relatórios de dados e resumos de faturas. • Conferir as faturas de saúde/odonto com as movimentações e formatar o arquivo do seguro de vida, seguindo as regras contratuais. • Cobrir férias, licenças e ausências no time de operação, sempre atuando internamente. • Propor melhorias nos processos a partir de mapeamentos e conferências detalhadas. O que esperamos de você: • Experiência com movimentação cadastral e faturamento de benefícios de saúde e dental. • Conhecimento sólido dos processos operacionais e das coberturas de benefícios corporativos. • Organização e agilidade para lidar com prazos e grandes volumes de informações. • Excel intermediário (PROCV, tabelas dinâmicas, fórmulas). • Capacidade de análise técnica em benefícios e seguros. Junte-se à XIPP e faça parte de uma empresa que valoriza seu crescimento e oferece um ambiente inovador e dinâmico!
Analista de Sucesso do Cliente Pl (cs/Cx);OceanPact Serviços Maritimos S.A;288;Pleno;Publicada em 10/10/2024;a combinar;Rio de Janeiro;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Participação nos Lucros ou Resultados, Refeitório, Seguro de vida;Buscamos um Analista de Sucesso do Cliente PL para atuar em nossa empresa.  O perfil ideal deve compartilhar de nossos valores e expressar compromisso em obter os melhores resultados, além de gostar do que faz e não medir esforços para exercer suas atividades com segurança.  Se você busca um ambiente dinâmico, onde a criatividade e a inovação fazem parte do dia a dia, essa oportunidade é para você!  Principais Responsabilidades:  • Atuar como Sucesso do Cliente em uma equipe multidisciplinar que desenvolve uma plataforma Web/PWA para resposta a emergência e exploração sustentável dos oceanos, envolvendo visualização e processamento de dados (históricos, tempo real e previstos) em conjunto com um mapa interativo. • Ampliar a satisfação do cliente em todos os pontos de sua jornada, envolvendo e coordenando equipes correlacionadas. • Conduzir o cliente a utilizar produtos e serviços de forma eficiente através de treinamentos e suporte contínuo. • Identificar oportunidades de expansão, como cross-sell e upsell, e direcioná-las para a área responsável. • Atuar na retenção e na resolução de possíveis insatisfações e cancelamentos, propondo alternativas em conjunto com outras áreas. • Gerir o desempenho de clientes de alta complexidade, acompanhando critérios de sucesso e antecipando problemas. • Propor soluções para tornar os processos internos mais ágeis e escaláveis, reduzindo custos e investimentos. • Ser referência nos conceitos e diretrizes de Customer Success, apoiando e orientando a equipe. • Estabelecer e monitorar métricas e indicadores como de satisfação e retenção, propondo ações de melhoria quando necessário. • Participar de comunidades e fóruns técnicos de CS, além de apoiar na comunicação interna e externa. • Incentivar a participação dos clientes em ações de engajamento. • Manter um conhecimento contínuo dos clientes para sugerir melhorias e otimizar o uso dos produtos.  Requisitos:  • Conhecimento em marketing digital. • Familiaridade com o mercado de tecnologia, startups e SaaS. • Habilidades em negociação e resolução de problemas. • Excel e PowerPoint em nível avançado. • Inglês avançado.  Desejável:  • Conhecimento em ITIL, metodologias ágeis, Design Thinking ou gestão de processos. • Certificações em CS e CX. • Experiência em relacionamento/atendimento ao cliente ou Customer Success.   Importante: Todas as nossas vagas estão disponíveis para profissionais PCD.  
Analista Senior de Business Analytics - Afirmativa para Diversidade;99;289;Sênior;Publicada hoje;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio creche, Auxílio desenvolvimento, Programa de treinamentos;Team Overview  Nesta posição, você se juntará à equipe de Business Analytics, junto à área de Strategy & Planning, com o objetivo de fazer do conhecimento institucional uma alavanca estratégica da 99. Nosso objetivo é aplicar técnicas descritivas, de diagnóstico, preditivas e prescritivas para orientar a tomada de decisão da companhia e das mais diversas áreas que apoiamos no cumprimento de suas metas (de Operações, à PR).  Você ajudará na compreensão profunda de nosso negócio, processando petabytes de dados gerados todos os dias por milhões de clientes, e ainda servirá de inspiração por trás da cultura orientada a dados da 99.  Role Responsibilities  
Analista de Laboratório - Richet Clínica São Vicente;Rede D'Or;290;Júnior/ Trainee;Publicada em 30/09/2024;a combinar;Rio de Janeiro;Regime CLT;Assistência médica, Assistência odontológica, Convênio com empresas parceiras, Desconto em produtos, Refeitório, Seguro de vida;"Requisitos:   - Formação: Ensino Superior Completo em Farmácia , Biologia ou Biomedicina. - Registro em conselho ativo e em regularidade. - Desejável vivência na área de análises clínicas.      Atividades:    -Cumprir BPLC; -Compreender e seguir o cadastro do paciente e todos os procedimentos padrões do laboratório (POP); -Realizar o preparo do material de qualquer fonte dentro das normas e procedimentos de qualidade; -Realizar pedidos de materiais sempre que necessários; -Manter o ambiente de trabalho organizado e abastecido; -Conferir o material recebido no ato da entrada, registrar e informar aos superiores qualquer evidência de não conformidade; -Não aceitar materiais não conformes; -Conferir a identificação primária nas amostras; -Conferir os dados do cliente nas etiquetas (identificação secundária) e mapa de trabalho; -Cumprir escalonamentos de trabalho dados pelo superior; -Cumprir o procedimento correto para sua rotina; -Atenção aos procedimentos especiais. Dúvidas podem ser consultadas no sistema, junto ao responsável imediato ou ao setor; -Ser capaz de acondicionar o material biológico dos pacientes para trânsitos, nas instalações do Laboratório ou em Instituições hospitalares; -Responder pelas amostras manipuladas no setor; -Comunicar aos responsáveis dos outros setores quaisquer não conformidades e registrá-las; -Participar (ouvinte) dos programas de treinamento e educação continuada oferecidos pelo laboratório; -Manter a confidencialidade dos resultados dos exames e laudos; -Seguir as medidas de ordem, higiene e limpeza e aplicar as precauções de saúde e segurança de acordo com a regulamentação técnica pertinente; -Processar o preparo das Amostras seguindo POP.     Outras informações:    - Local de trabalho: Gávea , Rio de Janeiro - RJ. - Escala de trabalho: 12x36 - 7h às 19h. - Disponibilidade para treinamento."
Analista de Sistemas SAP Jr. (Módulo Rh);XCMG Brasil Indústria;291;Júnior/ Trainee;Publicada há 7 dias;a combinar;Minas Gerais;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio farmácia, Auxílio fretado, Participação nos Lucros ou Resultados;Inglês - Nível Intermediário, Inglês - Nível Avançado e Inglês - Nível Fluente
10657 - Data Scientist (Cientista de Dados);Talent Group;292;Sênior;Publicada em 30/09/2024;a combinar;Barueri;Regime CLT;Assistência médica, Assistência odontológica, Auxílio combustível, Auxílio creche, Auxílio fretado, Horário flexível; Que tal trabalhar como Cientista de Dados em uma empresa brasileira, líder no mercado de serviços de Cloud?  Profissional atuará como Cientista de dados em uma equipe multidisciplinar, focado em entregas de projetos de machine learning produtivos, mas que tenham interesse também em atuar em desafios multidisciplinares em dados e nuvem AWS. Será responsável por desenhar soluções, realizar adequação do entendimento de propostas, direcionar time de entrega dentro do escopo de Ciência de Dados. Entendimento de escopo, levantamento de requisitos com clientes externos e estimativa de esforço para projetos que envolvem IA e Dados. Capacidade de se comunicar com stakeholders de negócio e técnicos e de integrar de forma assertiva as necessidades de ambos. Atuar como liderança técnica em inteligência artificial, referenciando cientistas de dados e outros perfis correlatos em tarefas que englobam todo o ciclo de desenvolvimento de soluções de machine learning em nuvem AWS. Desenvolver e manter práticas de MLOps em projetos produtivos Atuar no desenvolvimento de projetos de machine-learning de ponta-a-ponta na AWS, sobretudo em clientes estratégicos e/ou projetos com maior complexidade técnica  Conhecimento sólido em Inteligência Artificial, Machine Learning, Deep Learning e IA Generativa Experiência no desenvolvimento, manutenção e monitoramento de soluções produtivas com ML Experiência no desenvolvimento de soluções produtivas em provedores de nuvem pública Conhecimentos sólidos Python e em bibliotecas de ML e manipulação de dados  Contratação: CLT Full + Benefícios Atuação no Modelo Híbrido: 3x na semana presencial em Barueri. Superior Completo  Inglês - Nível Intermediário
Cientista de Dados (VAGA Extensiva para Pessoas com Deficiência);Concremat;293;Pleno;Publicada em 08/08/2024;a combinar;Distrito Federal;Regime CLT;; Empresa de Engenharia Consultiva
Arquiteto de Dados Pleno;Grupo Fleury;294;Pleno;Publicada em 26/09/2024;a combinar;100% Home Office;Regime CLT;; O Grupo Fleury é uma das maiores e mais respeitadas instituições de medicina e saúde do Brasil. Referência por sua excelência técnica, médica e de atendimento, é também destaque nas melhores práticas ESG. Além dos serviços de medicina diagnóstica, o Grupo Fleury conta com uma oferta crescente de serviços que buscam responder às necessidades das pessoas, além de gerar sustentabilidade para o sistema de saúde com a melhor utilização dos recursos investidos. Essas soluções refletem o posicionamento estratégico da empresa de ser um ecossistema de saúde integrada, preventiva e híbrida, combinando ofertas físicas e digitais. Acreditamos que carreira e propósito caminham juntos, e costumamos falar que somos apaixonados pelas pessoas e pelo que fazemos. Isso reflete em nosso dia a dia, por meio de um trabalho que impacta vidas. Faz parte da nossa essência cuidar das pessoas, colocando as colaboradoras, colaboradores, médicas, médicos e clientes sempre no centro. Se você tem atitude positiva, empatia, adaptabilidade e deseja se desenvolver em um ambiente repleto de profissionais referências no mercado que prezam por respeito, excelência e inovação, abrace a oportunidade de levar saúde e bem-estar para a plena realização das pessoas! Venha transformar sua paixão em carreira!
Analista de Inteligência de Mercado Pleno (Agr;Confidencial;295;Pleno;Publicada em 01/10/2024;R$ 5.000 a R$ 6.500;São Paulo;Regime CLT;;
Jovem Aprendiz - Belo Horizonte;Worley;296;Estágio;Publicada em 15/10/2024;a combinar;Belo Horizonte;Estágio;Assistência médica, Assistência odontológica, Seguro de vida, Vale-refeição, Vale-transporte;Não somos apenas engenheiros. Somos uma equipe global de cientistas de dados, consultores, trabalhadores da construção e inovadores, todos trabalhando para criar um amanhã melhor. Seja qual for a sua ambição, há um caminho para você aqui! #WeAreWorley  Estamos buscando uma pessoa Jovem Aprendiz para nosso escritório de Belo Horizonte para dar suporte à área de Engenharia na parte Técnica -Administrativa e interface com subáreas dentro da Worley.  Atividades:   Requisitos:   Se você tem paixão e talento para se manter atualizado, é hora de testar os limites do que você pode se tornar. Encontre seu futuro na Worley.  Observação: somente candidatos com qualificações e experiência adequadas serão contatados diretamente.  Inglês - Nível Básico 
Engenheiro de Dados;EMPRESA CONFIDENCIAL;297;;2024-09-26;R$ 7.000,00 até R$ 11.000,00;Brasília, DF, BR;Profissional;Assistência médica, Assistência odontológica, Auxílio educação, Benefícios internos, Informado na entrevista, Vale-alimentação, Vale-refeição, Vale-transporte;"Descrição e Responsabilidades: Desenvolver e implementar pipelines de dados utilizando ferramentas de ETL;  Atuar com bancos de dados relacionais e não relacionais;  Projetar e implementar estruturas de dados eficientes;  Atuar com ferramentas de processamento de dados;  Utilizar pensamento analítico para entender os requisitos de negócio e projetar soluções eficazes. Requisitos: Experiência comprovada como Engenheiro de Dados;  Conhecimento sólido em Python e SQL;  Conhecimento nos conceitos de Data Lake, Data Warehouse;  Experiência com ferramentas de ETL;  Familiaridade com ferramentas de Big Data;  Experiência com ferramentas de versionamento (Git);  Conhecimento em alguma das ferramentas: Apache Airflow, Snowflake, Hadoop, Spark, Apache Kafka.  Desejável: Conhecimentos em ElasticSearch, Redis, Docker, MLOps.  Formação superior em qualquer das áreas de Tecnologia. Importante ter: Senso de urgência, pro atividade, dinamismo, flexibilidade, raciocínio lógico, bom relacionamento interpessoal, comunicação clara e objetiva, capacidade de definir prioridades e saber ouvir opiniões dos colegas. Benefícios"
Especialista Arquiteto de Banco de Dados - CONAP FUNCEF;B2HR Inteligência em Gestão de Pessoas;298;;2024-10-22;R$ 19.697,00;Brasília, DF, BR;"Profissional
•
Efetivo – CLT";Assistência médica, Assistência odontológica, Auxílio creche, Auxílio Medicamentos, Previdência Complementar, Seguro de Vida, Vale-alimentação, Vale-transporte;Descrição e Responsabilidades: Requisitos: Ferramentas de Informática
Banco de dados;SICOOB CREDIALP;299;;2024-10-15;A Combinar;Alpinópolis, MG, BR;CLT;Assistência médica, Auxílio creche, Auxílio educação, Comissões, Participação nos lucros, Seguro de Vida, Vale-alimentação;Descrição e Responsabilidades: Banco de dados. Requisitos: Banco de dados. Benefícios
Analista de dados;Crefaz;300;;2024-10-23;A Combinar;Maringá, PR, BR;"Profissional
•
Efetivo – CLT";Assistência médica, Assistência odontológica, Vale-alimentação;Descrição e Responsabilidades: Realizar a elaboração e manutenção de estudos e análises das áreas de negócios da Crefaz, buscando atender às respectivas necessidades com informações relevantes e íntegras. Desenvolver indicadores de área, acompanhá-los e tomar as devidas providências diante dos resultados obtidos. Utilizando dados direcionados à tomadas de decisões, aliados às estratégias de negócios da organização.  Requisitos:
Administrador de Dados - Administrador de Dados;Memora Processos Inovadores;301;;2024-10-09;A Combinar;Brasília, DF, BR;Profissional;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio educação, Benefícios internos, Transporte, Vale-alimentação, Vale-refeição, Vale-transporte;Descrição e Responsabilidades: Estamos em busca de um Administrador de Dados Pleno para integrar nossa equipe. O profissional será responsável por:  Requisitos:
ANALISTA DE DADOS - CUSTOMER EXPERIENCE;Stellantis;302;;2024-10-24;A Combinar;Betim, MG, BR;"Profissional
•
Efetivo – CLT";Informado na entrevista;"Descrição e Responsabilidades: - Apoiar análises do comportamento dos carros da Stellantis nas mídias sociais; - Realizar análises críticas sobre os dados coletados de diferentes fontes (Muchmore, Google, Apple, Microsoft, Meta, Amazon e entre outras); - Desenvolver relatórios e dashboards em PowerBI para apoiar nas tomadas de decisão do negócio; - Ajudar a criar insights sobre melhorias na imagem dos veículos Stellantis no mercado.   Requisitos: - Formação em Ciência da Computação, Engenharia da Computação, Analise e Desenvolvimento de Sistemas, Tecnologia ou áreas correlacionadas - Conhecimento de PowerBI - Conhecimento de Python - Conhecimento de ferramentas de Inteligência Artificial para coleta de dados - Diferencial: Conhecimento sobre Inteligência Artificial em Análise de Dados Benefícios"
Analista de Dados;MTec (Microtécnica);303;;2024-10-17;A Combinar;Brasília, DF, BR;"Profissional
•
Prestador de Serviços - PJ";;Descrição e Responsabilidades: SOBRE A MTEC:  A Mtec conta com 38 anos de excelência em TI com atuação a nível nacional. Possuímos experiência e credibilidade no mercado, atendendo mais de 5.000 municípios por meio de licitações e atuando, também, no segmento privado, sempre atentos ás necessidades dos nossos clientes, internos e externos.  Se você tem o desejo de trabalhar em uma empresa GPTW, fazer parte de uma equipe altamente comprometida e colaborativa e deseja se desenvolver profissionalmente, aqui pode ser o seu lugar! Atividades:  Requisitos: Requisitos:  
Engenheiro de Dados - Pleno;Bancorbrás;304;;2024-10-16;A Combinar;09:00 - 12:00 - 13:00 - 18:00;Efetivo – CLT;Abonos anuais, Assistência médica, Assistência odontológica, Auxílio academia, Auxílio creche, Auxílio educação, Seguro de Vida, Vale-alimentação, Vale-refeição;Descrição e Responsabilidades: Seu dia a dia na Bancorbrás: Requisitos:
Analista de Privacidade de Dados Senior;SICOOB;305;;2024-10-17;A Combinar;Brasília, DF, BR;"Profissional
•
Efetivo – CLT";Auxílio-Creche/ Babá, Bolsa de Estudos para Graduação e Pós-Graduação, Cesta Natalina, Day off - fim de ano, Licença maternidade estendida, Licença paternidade estendida, Participação nos Resultados (anual), Plano de Saúde, Plano Odontológico, Previdência Privada Multipatrocinada, Programa de Desenvolvimento de Soft e Hard Skills, Programa de Mobilidade Interna - Match Oportunidades Internas, Programa Viver Bem, Seguro de Vida, Universidade Corporativa Sicoob, Vale-alimentação, Vale-refeição, Vale-transporte (opcional), Wellhub;Descrição e Responsabilidades: Requisitos:  Requisitos Obrigatórios:    Requisitos desejáveis:  Centro Cooperativo Sicoob - CCS      Benefícios
Analista de Banco de Dados - Temporário;Premium Entretenimento;306;;2024-09-30;A Combinar;Salvador, BA, BR;"Profissional
•
Outros";Auxílio academia, Celular corporativo, Estacionamento, Vale-alimentação, Vale-refeição, Vale-transporte;Descrição e Responsabilidades: Responsabilidades: Habilidades e Competências: Experiência: Requisitos: Requisitos: Graduações: Diferenciais: Benefícios
Analista de Sistemas;EMPRESA CONFIDENCIAL;307;;2024-10-11;A Combinar;Pato Branco, PR, BR;Efetivo – CLT;Informado na entrevista;Descrição e Responsabilidades: Como Analista de Sistemas, você terá um papel fundamental na análise, mapeamento e otimização de nossos processos de negócio, identificando oportunidades de melhoria e implementando soluções eficazes. Você também será responsável por gerenciar nossos bancos de dados e desenvolver relatórios e painéis utilizando o Power BI, fornecendo insights valiosos para a gestão da empresa. Responsabilidades: Requisitos:
Desenvolvedor Machine Learning;EMPRESA CONFIDENCIAL;308;;2024-10-18;A Combinar;Brasília, DF, BR;Profissional;Assistência médica, Assistência odontológica, Informado na entrevista, Previdência privada, Seguro de Vida;Descrição e Responsabilidades: Desenvolver e implementar modelos de machine learning para diversas aplicações.  Analisar e processar grandes volumes de dados para criar soluções preditivas.  Avaliar a performance dos modelos e otimizar algoritmos para eficiência.  Colaborar com equipes de engenharia e dados para integrar modelos em sistemas de produção.  Pesquisar e aplicar técnicas de machine learning avançadas para resolver problemas complexos. Requisitos: Conhecimento em frameworks de machine learning como TensorFlow, PyTorch ou scikit-learn. Sólida experiência com manipulação de dados e técnicas de modelagem estatística.  Experiência com linguagens de programação como Python ou R.  Desejável:  Conhecimentos em técnicas de deep learning e redes neurais.  Experiência com Big Data (Hadoop, Spark).  Familiaridade com pipelines de machine learning e ferramentas de MLOps. Familiaridade com implementações de LLM, RAG. Benefícios
Analista de Validação de Modelos de Riscos Sênior;SICOOB;309;;2024-10-17;A Combinar;Brasília, DF, BR;"Profissional
•
Efetivo – CLT";Auxílio-Creche/ Babá, Bolsa de Estudos para Graduação e Pós-Graduação, Cesta Natalina, Day off - fim de ano, Licença maternidade estendida, Licença paternidade estendida, Participação nos Resultados (anual), Plano de Saúde, Plano Odontológico, Previdência Privada Multipatrocinada, Programa de Desenvolvimento de Soft e Hard Skills, Programa de Mobilidade Interna - Match Oportunidades Internas, Programa Viver Bem, Seguro de Vida, Universidade Corporativa Sicoob, Vale-alimentação, Vale-refeição, Vale-transporte (opcional), Wellhub;Descrição e Responsabilidades: Requisitos:  Requisitos Obrigatórios:    Requisitos desejáveis:  Centro Cooperativo Sicoob - CCS      Benefícios
Analista de BI;Memora Processos Inovadores;310;;2024-10-17;A Combinar;Rio de Janeiro, RJ, BR;"Profissional
•
Efetivo – CLT";Assistência médica, Assistência odontológica, Auxílio academia, Auxílio educação, Vale cultura, Vale-alimentação, Vale-refeição, Vale-transporte;"Descrição e Responsabilidades: Responsável pela análise de dados, desenho/modelagem de painéis e dashboards complexos para identificar tendências de negócios e de mercado; ? Requer conhecimento em técnicas de modelagem e análise de dados, plataformas analíticas, ferramentas de relatório e dashboards; ? Coleta, limpa, e minera dados e os transforma em informações úteis para a empresa, auxiliando na tomada de decisões; ? Possui proficiência em linguagens de programação como Python e SQL, plataformas de BI, fundamentos de manuseio, limpeza, compilação, modelagem e análise de dados, além de habilidadesde matemática e pensamento crítico. Requisitos: Diploma, devidamente registrado, de conclusão de curso de graduação na área de Tecnologia da Informação ou nível superior em qualquer área com pós-graduação na área de Tecnologia da Informação em nível de especialização ou mestrado ou doutorado, fornecido por instituição de ensino superior reconhecido pelo Ministério da Educação – MEC, ou pelo órgão competente para tanto no país de emissão do diploma.

Princípios e práticas de desenvolvimento de software ágil, incluindo o Manifesto Ágil, Scrum, Extreme Programming e Kanban; ? Análise de requisitos funcionais, não funcionais e requisitos ágeis utilizando histórias de Usuário ou outro artefato de requisito ágil; ? Integração de dados de diferentes fontes (bancos de dados, planilhas, APIs, etc.); ? Elaboração de Dashboards e Cockpits; ? Aplicar conceitos de UX e conceitos de usabilidade no desenvolvimento de aplicações de BI; ? Domínio da linguagem SQL (DDL e DML). ? Experiência exercendo atividades de construção de processos ETL; ? Experiência utilizando alguma plataforma de Integração de Dados; ? Conhecimento de metodologia ágil de desenvolvimento de software; ? Vivência em projetos de DW, BI e ML; ? Conhecimento em modelagem de dados (Data Warehouse e modelagem dimensional) ? Conhecimento avançado em banco de dados e linguagem SQL Benefícios"
Assistente de BI;CENTRAL SICOOB UNI;311;;2024-10-02;A Combinar;Goiânia, GO, BR;"Operacional
•
Efetivo – CLT";Assistência médica, Assistência odontológica, Auxílio academia, Auxílio combustível, Auxílio educação, Previdência privada, Seguro de Vida, Vale-alimentação, Vale-refeição, Vale-transporte;"Descrição e Responsabilidades: - Atualizar o banco de dados dos relatórios disponíveis; - Desenvolver painéis e relatórios com informações estratégicas e comerciais para subsidiar a tomada de decisões; - Participar de reuniões operacionais junto às áreas da central e às cooperativas; - Realizar o atendimento às cooperativas por meio do sistema de chamados; - Desenvolver apresentações estratégicas e comerciais para subsidiar a tomada de decisões. Requisitos: - Ensino Superior Completo ou Cursando Ciências Contábeis, Economia, Administração e áreas afins;  - Pacote Office (word, power point e Excel);  - Power Bi e noções de programação (Linguagem Python ou SQL).  Benefícios"
